#453 4296 161 145 120 332 243 277 22219 978 551 253 1993 721 601 840 652 504     533.530 4467.672 148.696 128.831 111.251 391.336 100.932 109.999 7443.402 315.096 304.061 223.158 1942.334 703.089 549.038 798.137 518.603 352.709
410 142 138.390091
435 955 931.275818
460 1374 1255.205444
485 307 291.700104
510 921 732.567017
535 1304 912.565186
560 205 85.148163
585 176 69.890808
610 2671 3145.824707
645 5381 1802.644043
680 7565 7867.304688
705 386 124.362991
730 1052 971.601501
760 795 706.350769
810 386 357.857269
860 188 221.599854
900 2270 1252.667114
940 622 548.632629



