1547613250 2019-01-16T04:34+00:00 2242 364 413 301 686 1608 1644 1722 850 372 831 202 623 190 308 234 644 1706     2640.561 378.546 381.437 267.436 635.985 1895.386 682.847 683.818 284.751 119.852 458.575 178.173 607.162 185.280 281.371 222.338 512.240 1193.893 
1547614156 2019-01-16T04:49+00:00 2249 364 413 301 688 1612 1647 1726 853 372 831 201 624 190 308 234 645 1708     2648.806 378.546 381.437 267.436 637.839 1900.101 684.093 685.406 285.756 119.852 458.575 177.291 608.137 185.280 281.371 222.338 513.036 1195.292 
1547615061 2019-01-16T05:04+00:00 2258 365 413 301 690 1616 1651 1731 857 373 831 201 624 190 309 235 646 1712     2659.406 379.586 381.437 267.436 639.693 1904.816 685.754 687.392 287.096 120.175 458.575 177.291 608.137 185.280 282.284 223.288 513.831 1198.092 
1547615967 2019-01-16T05:19+00:00 2267 366 413 301 692 1619 1654 1735 861 374 832 201 624 190 309 235 647 1714     2670.005 380.626 381.437 267.436 641.547 1908.352 687.000 688.980 288.436 120.497 459.127 177.291 608.137 185.280 282.284 223.288 514.626 1199.491 
1547616872 2019-01-16T05:34+00:00 2274 367 413 301 694 1620 1657 1739 864 374 831 201 625 191 309 235 648 1717     2678.250 381.666 381.437 267.436 643.401 1909.531 688.246 690.569 289.441 120.497 458.575 177.291 609.111 186.255 282.284 223.288 515.422 1201.591 
1547617777 2019-01-16T05:49+00:00 2281 368 413 301 695 1622 1660 1744 867 375 831 201 625 191 309 235 648 1718     2686.494 382.706 381.437 267.436 644.328 1911.888 689.492 692.554 290.446 120.819 458.575 177.291 609.111 186.255 282.284 223.288 515.422 1202.291 
1547618683 2019-01-16T06:04+00:00 2286 369 413 300 697 1624 1662 1747 870 375 831 201 625 191 309 235 648 1719     2692.383 383.746 381.437 266.547 646.183 1914.245 690.323 693.746 291.451 120.819 458.575 177.291 609.111 186.255 282.284 223.288 515.422 1202.990 
1547619588 2019-01-16T06:19+00:00 2293 369 413 300 698 1626 1665 1751 874 376 831 201 625 191 309 235 649 1721     2700.627 383.746 381.437 266.547 647.110 1916.603 691.569 695.334 292.791 121.141 458.575 177.291 609.111 186.255 282.284 223.288 516.217 1204.390 
1547620494 2019-01-16T06:34+00:00 2299 370 412 300 699 1628 1667 1754 876 377 832 200 626 191 309 235 649 1722     2707.694 384.786 380.513 266.547 648.037 1918.960 692.400 696.525 293.461 121.463 459.127 176.409 610.086 186.255 282.284 223.288 516.217 1205.090 
1547621399 2019-01-16T06:49+00:00 2307 370 413 300 700 1629 1671 1759 880 378 831 200 626 191 310 236 650 1725     2717.116 384.786 381.437 266.547 648.964 1920.139 694.061 698.511 294.801 121.786 458.575 176.409 610.086 186.255 283.198 224.239 517.013 1207.189 
1547622305 2019-01-16T07:05+00:00 2312 369 412 300 702 1631 1672 1761 886 378 831 200 627 191 309 236 650 1725     2723.005 383.746 380.513 266.547 650.818 1922.497 694.477 699.305 296.811 121.786 458.575 176.409 611.060 186.255 282.284 224.239 517.013 1207.189 
1547623210 2019-01-16T07:20+00:00 2318 371 412 300 703 1632 1674 1765 885 379 832 200 627 191 310 236 651 1727     2730.072 385.826 380.513 266.547 651.745 1923.675 695.307 700.894 296.476 122.108 459.127 176.409 611.060 186.255 283.198 224.239 517.808 1208.589 
1547624116 2019-01-16T07:35+00:00 2323 372 412 300 703 1634 1676 1767 887 379 831 200 627 191 310 236 651 1728     2735.961 386.865 380.513 266.547 651.745 1926.033 696.138 701.688 297.146 122.108 458.575 176.409 611.060 186.255 283.198 224.239 517.808 1209.289 
1547625021 2019-01-16T07:50+00:00 2328 373 412 299 704 1634 1677 1770 890 379 831 200 628 191 310 236 651 1729     2741.849 387.905 380.513 265.659 652.672 1926.033 696.554 702.879 298.151 122.108 458.575 176.409 612.035 186.255 283.198 224.239 517.808 1209.989 
1547625927 2019-01-16T08:05+00:00 2334 374 412 299 705 1634 1680 1773 893 380 830 200 628 191 310 236 652 1731     2748.916 388.945 380.513 265.659 653.599 1926.033 697.800 704.070 299.156 122.430 458.024 176.409 612.035 186.255 283.198 224.239 518.603 1211.388 
1547626832 2019-01-16T08:20+00:00 2340 374 412 299 706 1637 1683 1777 896 380 831 200 628 192 310 237 652 1732     2755.983 388.945 380.513 265.659 654.526 1929.569 699.046 705.659 300.161 122.430 458.575 176.409 612.035 187.230 283.198 225.189 518.603 1212.088 
1547627737 2019-01-16T08:35+00:00 2345 374 412 299 707 1638 1684 1780 898 381 831 200 629 192 310 237 652 1733     2761.872 388.945 380.513 265.659 655.454 1930.748 699.461 706.850 300.832 122.752 458.575 176.409 613.010 187.230 283.198 225.189 518.603 1212.788 
1547628643 2019-01-16T08:50+00:00 2349 375 412 299 707 1639 1686 1782 900 381 831 200 630 192 310 237 653 1734     2766.583 389.985 380.513 265.659 655.454 1931.926 700.292 707.644 301.501 122.752 458.575 176.409 613.984 187.230 283.198 225.189 519.399 1213.488 
1547629548 2019-01-16T09:05+00:00 2355 376 411 299 708 1640 1688 1786 903 382 831 200 630 192 310 237 653 1736     2773.649 391.025 379.590 265.659 656.381 1933.105 701.122 709.233 302.507 123.074 458.575 176.409 613.984 187.230 283.198 225.189 519.399 1214.887 
1547630454 2019-01-16T09:20+00:00 2360 377 411 299 709 1641 1690 1788 906 382 831 200 631 192 310 237 654 1737     2779.538 392.065 379.590 265.659 657.308 1934.284 701.953 710.027 303.512 123.074 458.575 176.409 614.959 187.230 283.198 225.189 520.194 1215.587 
1547631359 2019-01-16T09:35+00:00 2367 378 411 299 709 1641 1693 1792 909 383 831 200 631 192 311 237 655 1739     2787.782 393.105 379.590 265.659 657.308 1934.284 703.199 711.615 304.517 123.396 458.575 176.409 614.959 187.230 284.111 225.189 520.990 1216.987 
1547632265 2019-01-16T09:51+00:00 2371 378 411 299 710 1643 1694 1794 915 384 831 200 632 192 311 237 655 1741     2792.494 393.105 379.590 265.659 658.235 1936.641 703.615 712.410 306.527 123.719 458.575 176.409 615.933 187.230 284.111 225.189 520.990 1218.386 
1547633170 2019-01-16T10:06+00:00 2376 378 411 299 711 1643 1696 1797 913 384 832 200 632 192 311 237 655 1742     2798.382 393.105 379.590 265.659 659.162 1936.641 704.445 713.601 305.857 123.719 459.127 176.409 615.933 187.230 284.111 225.189 520.990 1219.086 
1547634076 2019-01-16T10:21+00:00 2381 379 411 298 711 1644 1697 1799 916 384 832 200 633 192 311 238 656 1743     2804.271 394.145 379.590 264.770 659.162 1937.820 704.861 714.395 306.862 123.719 459.127 176.409 616.908 187.230 284.111 226.139 521.785 1219.786 
1547634981 2019-01-16T10:36+00:00 2385 379 411 298 712 1645 1699 1802 918 385 832 200 633 193 311 238 656 1744     2808.982 394.145 379.590 264.770 660.089 1938.999 705.691 715.587 307.532 124.041 459.127 176.409 616.908 188.205 284.111 226.139 521.785 1220.486 
1547635887 2019-01-16T10:51+00:00 2389 380 411 298 712 1645 1700 1804 920 385 831 200 633 193 311 238 656 1745     2813.693 395.185 379.590 264.770 660.089 1938.999 706.107 716.381 308.202 124.041 458.575 176.409 616.908 188.205 284.111 226.139 521.785 1221.186 
1547636792 2019-01-16T11:06+00:00 2395 381 411 298 713 1646 1702 1807 922 386 832 200 634 193 311 238 657 1747     2820.760 396.225 379.590 264.770 661.016 1940.177 706.937 717.572 308.872 124.363 459.127 176.409 617.883 188.205 284.111 226.139 522.580 1222.585 
1547637698 2019-01-16T11:21+00:00 2399 381 411 298 713 1647 1704 1810 924 386 832 200 635 193 311 238 657 1748     2825.471 396.225 379.590 264.770 661.016 1941.356 707.768 718.763 309.542 124.363 459.127 176.409 618.857 188.205 284.111 226.139 522.580 1223.285 
1547638603 2019-01-16T11:36+00:00 2404 382 410 298 714 1648 1705 1812 927 387 832 200 635 193 311 238 658 1749     2831.360 397.265 378.666 264.770 661.943 1942.535 708.184 719.558 310.547 124.685 459.127 176.409 618.857 188.205 284.111 226.139 523.376 1223.985 
1547639508 2019-01-16T11:51+00:00 2407 382 410 298 715 1649 1706 1814 929 387 832 200 635 193 312 238 658 1750     2834.893 397.265 378.666 264.770 662.870 1943.714 708.599 720.352 311.217 124.685 459.127 176.409 618.857 188.205 285.025 226.139 523.376 1224.685 
1547640414 2019-01-16T12:06+00:00 2412 383 410 298 715 1649 1708 1816 931 387 832 200 636 193 312 239 658 1751     2840.782 398.305 378.666 264.770 662.870 1943.714 709.430 721.146 311.887 124.685 459.127 176.409 619.832 188.205 285.025 227.089 523.376 1225.385 
1547641319 2019-01-16T12:21+00:00 2416 384 410 298 716 1650 1709 1818 933 388 832 200 636 193 312 239 659 1752     2845.493 399.345 378.666 264.770 663.797 1944.892 709.845 721.940 312.557 125.007 459.127 176.409 619.832 188.205 285.025 227.089 524.171 1226.084 
1547642225 2019-01-16T12:37+00:00 2420 381 410 297 716 1650 1710 1820 935 388 832 200 637 193 312 239 659 1753     2850.204 396.225 378.666 263.882 663.797 1944.892 710.260 722.734 313.227 125.007 459.127 176.409 620.806 188.205 285.025 227.089 524.171 1226.784 
1547643130 2019-01-16T12:52+00:00 2425 385 410 297 716 1651 1712 1823 937 389 832 200 637 194 312 239 659 1754     2856.093 400.385 378.666 263.882 663.797 1946.071 711.091 723.926 313.897 125.330 459.127 176.409 620.806 189.181 285.025 227.089 524.171 1227.484 
1547644036 2019-01-16T13:07+00:00 2428 384 410 297 716 1651 1713 1825 939 389 832 200 638 194 312 239 659 1755     2859.626 399.345 378.666 263.882 663.797 1946.071 711.506 724.720 314.567 125.330 459.127 176.409 621.781 189.181 285.025 227.089 524.171 1228.184 
